"ID_Reporte","Fecha_Emision","Fecha_Auditoria_Forense","Investigador_Responsable","Comite_Aprobador","Ensayo_Asociado","Sede","ID_Sujeto_Principal","Num_Sujetos_Declarados","Num_Sujetos_Real","Tasa_Exito_Declarada_Pct","Tasa_Exito_Real_Pct","Muertes_Reportadas","Muertes_Reales_Estimadas","Tipo_Alteracion_Principal","Num_Alteraciones_Detectadas","Clasificacion_Documento","Nivel_Riesgo_Fraude","Score_Fraude_0_100","Estado_Auditoria","Auditado_Por","Observaciones"
"RBF-01193","2015-04-20","2016-07-03","Dr. Birkin, W.","Panel Clínico Raccoon City","Protocolo G-Virus","NEST Underground","SUJ-4696","26","26","86.55","67.52","1","3","Reemplazo de sujeto de prueba","17","RESTRINGIDO","Medio","84.6","Fraude confirmado","AUD-889","Sujeto registrado fallecido antes del ensayo."
"RBF-01194","2014-06-26","2015-09-08","Dra. Reed, L.","Panel de Cumplimiento Viral","Investigación Las Plagas Fase III","Facility Salazar","SUJ-7943","58","61","94.31","68.9","4","8","Supresión de muestra contaminada","4","RESTRINGIDO","Crítico","75.1","Fraude confirmado","AUD-858","Hash de documento no coincide con archivo original."
"RBF-01195","2016-07-14","2017-11-23","Dr. Chen, W.","Panel Clínico Raccoon City","Fase C-Virus Alpha","Lab Urbano RC-04","SUJ-2219","29","48","89.34","67.26","0","2","Fabricación de consentimiento informado","1","USO INTERNO","Crítico","75","En revisión","AUD-238","Hash de documento no coincide con archivo original."
"RBF-01196","2019-10-04","2020-08-07","Dr. Dubois, L.","Panel Bioético Sector B","Experimento Wesker","Arklay Mountain Lab","SUJ-5095","37","40","83.32","67.18","1","12","Falsificación de firma de consentimiento","1","RESTRINGIDO","Bajo","41.2","Archivado","AUD-798","Protocolo no seguido, datos fabricados."
"RBF-01197","2014-09-23","2015-11-21","Dr. Chen, W.","Junta de Supervisión STARS","Fase Gamma-Licker","Satellite Lab B-17","SUJ-4225","75","88","96.78","45.41","4","7","Falsificación de grupo de control","17","CONFIDENCIAL","Crítico","64.3","Pendiente","AUD-296","Datos duplicados de ensayo anterior."
"RBF-01198","2015-06-08","2016-11-08","Dra. Spencer, A.","Panel de Cumplimiento Viral","Estudio Uroboros","Mobile Unit Delta","SUJ-3694","70","74","90.7","75.37","4","6","Falsificación de firma de consentimiento","11","ULTRA SECRETO","Medio","56.6","Escalado a fiscal","AUD-781","Datos duplicados de ensayo anterior."
"RBF-01199","2019-06-12","2020-09-15","Dra. Reed, L.","Comité de Ética Médica T-Sector","Proyecto Némesis","Arklay Mountain Lab","SUJ-6394","18","22","96.18","51.74","3","9","Falsificación de grupo de control","3","USO INTERNO","Medio","87","Archivado","AUD-356","Resultados estadísticos inconsistentes."
"RBF-01200","2018-07-10","2020-06-03","Dr. Isaacs, S.","Comité Ético NEST-Arklay","Protocolo G-Virus","Mobile Unit Delta","SUJ-6092","42","60","85.72","64.63","2","4","Alteración de fechas de aplicación","10","CONFIDENCIAL","Bajo","34.5","Fraude confirmado","AUD-618","Datos duplicados de ensayo anterior."
"RBF-01201","2016-02-20","2016-09-07","Dra. Spencer, A.","Comité Ético NEST-Arklay","Ensayo Mold-E-Variant","Laboratorio Remoto Dulvey","SUJ-2029","41","45","78.73","27.24","2","11","Falsificación de grupo de control","2","CONFIDENCIAL","Crítico","27.6","Fraude confirmado","AUD-206","Sujeto registrado fallecido antes del ensayo."
"RBF-01202","2017-04-22","2017-09-14","Dra. Petrova, I.","Junta de Supervisión STARS","Protocolo Umbrella-X","Laboratorio Remoto Dulvey","SUJ-2584","38","48","73.37","22.66","1","4","Supresión de reacción alérgica severa","16","USO INTERNO","Medio","55.1","En revisión","AUD-108","Firmas no coinciden con fecha declarada."
"RBF-01203","2018-03-17","2018-08-29","Dra. Singh, A.","Comité Ético NEST-Arklay","Experimento Wesker","Centro de Investigación Kijuju","SUJ-1456","34","35","90.88","49.72","3","4","Alteración de muestra de tejido","16","USO INTERNO","Alto","44.1","Pendiente","AUD-995","Datos duplicados de ensayo anterior."
"RBF-01204","2017-12-14","2018-03-14","Dra. Vega, N.","Comité Internacional de Bioética","Proyecto Excella","Raccoon City Hospital","SUJ-8863","17","31","75.15","33.26","4","5","Alteración de muestra de tejido","8","ULTRA SECRETO","Medio","87","Fraude confirmado","AUD-842","Protocolo no seguido, datos fabricados."
"RBF-01205","2015-11-09","2016-05-20","Dr. Torres, C.","Comité Internacional de Bioética","Fase Gamma-Licker","Raccoon City Hospital","SUJ-8077","37","50","79.87","64.66","3","11","Manipulación de estadística de éxito","7","CONFIDENCIAL","Crítico","72.4","Fraude confirmado","AUD-696","Firmas no coinciden con fecha declarada."
"RBF-01206","2016-10-08","2017-02-21","Dra. Okafor, B.","Junta de Supervisión STARS","Ensayo T-002","Facility Salazar","SUJ-1393","25","38","85.84","31.45","3","13","Omisión de muerte no reportada","10","ULTRA SECRETO","Bajo","81.7","Escalado a fiscal","AUD-391","Aprobación ética emitida retroactivamente."
"RBF-01207","2020-05-13","2021-08-12","Dr. Isaacs, S.","Comité de Ética Médica T-Sector","Estudio Megamycete","Lab Urbano RC-04","SUJ-6477","76","83","86.67","36.56","1","1","Falsificación de aprobación ética","4","USO INTERNO","Bajo","37.3","Fraude confirmado","AUD-794","Hash de documento no coincide con archivo original."
"RBF-01208","2018-03-04","2019-11-28","Dr. Isaacs, S.","Comité de Revisión Umbrella Corp.","Ensayo T-002","Spencer Estate Lab","SUJ-5102","27","46","87.62","36.82","2","2","Alteración de muestra de tejido","9","ULTRA SECRETO","Medio","53","Fraude confirmado","AUD-433","Aprobación ética emitida retroactivamente."
"RBF-01209","2015-09-16","2017-02-21","Dr. Birkin, W.","Comité de Revisión Externe BSAA","Estudio Plagas-Las Illuminadas","NEST Underground","SUJ-5049","57","64","76.32","34.95","3","12","Fabricación de consentimiento informado","5","RESTRINGIDO","Medio","10.8","Pendiente","AUD-269","Aprobación ética emitida retroactivamente."
"RBF-01210","2015-12-12","2017-08-15","Dr. Chen, W.","Comité de Revisión Externe BSAA","Estudio Plagas-Las Illuminadas","Raccoon City Hospital","SUJ-2766","31","35","81.87","53.08","3","3","Supresión de reacción alérgica severa","7","ULTRA SECRETO","Crítico","39.8","Escalado a fiscal","AUD-425","Datos duplicados de ensayo anterior."
"RBF-01211","2019-11-18","2021-11-11","Dra. Vega, N.","Panel Clínico Raccoon City","Fase C-Virus Alpha","Spencer Estate Lab","SUJ-8759","6","10","88.05","37.3","3","5","Supresión de reacción alérgica severa","4","ULTRA SECRETO","Alto","70.1","Pendiente","AUD-434","Protocolo no seguido, datos fabricados."
"RBF-01212","2017-02-01","2018-05-25","Dra. Petrova, I.","Comité de Revisión Umbrella Corp.","Proyecto Némesis","Satellite Lab B-17","SUJ-4905","40","53","97.22","70.56","0","1","Alteración de muestra de tejido","1","ULTRA SECRETO","Alto","16","Pendiente","AUD-354","Protocolo no seguido, datos fabricados."
"RBF-01213","2015-01-14","2015-08-17","Dr. Salazar, R.","Junta Regulatoria Nemesis Div.","Fase Miranda-Prime","Spencer Estate Lab","SUJ-6583","12","16","90.92","53.41","3","5","Manipulación de dosis registrada","12","RESTRINGIDO","Medio","79.7","En revisión","AUD-816","Protocolo no seguido, datos fabricados."
"RBF-01214","2015-06-09","2017-03-25","Dr. Chen, W.","Comité de Revisión Umbrella Corp.","Ensayo Mutación Hunter","Centro de Investigación Kijuju","SUJ-1891","53","61","95.99","77","3","7","Falsificación de aprobación ética","16","RESTRINGIDO","Bajo","73.3","Escalado a fiscal","AUD-685","Consentimiento firmado bajo coerción."
"RBF-01215","2014-10-26","2015-12-18","Dra. Spencer, A.","Panel Clínico Raccoon City","Prueba NE-α","Centro de Investigación Kijuju","SUJ-6465","71","81","91.82","39.94","4","12","Falsificación de firma de consentimiento","16","CONFIDENCIAL","Alto","28.2","Pendiente","AUD-494","Consentimiento firmado bajo coerción."
"RBF-01216","2014-08-02","2015-09-03","Dr. Yamamoto, K.","Panel Bioético Sector B","Protocolo Umbrella-X","Centro de Investigación Kijuju","SUJ-9514","10","26","87.38","66.75","0","1","Omisión de muerte no reportada","8","ULTRA SECRETO","Medio","27.4","Archivado","AUD-249","Muestra biológica alterada post-análisis."
"RBF-01217","2013-05-09","2015-02-24","Dr. Ashford, E.","Junta de Supervisión STARS","Estudio Plagas-Las Illuminadas","Arklay Mountain Lab","SUJ-4878","45","56","76.99","52.99","3","14","Fabricación de consentimiento informado","13","ULTRA SECRETO","Bajo","64","Escalado a fiscal","AUD-430","Firmas no coinciden con fecha declarada."
"RBF-01218","2020-02-02","2020-04-01","Dr. Ashford, E.","Comité de Revisión Externe BSAA","Protocolo G-Virus","Satellite Lab B-17","SUJ-2194","17","28","89.33","52","3","13","Fabricación de consentimiento informado","9","ULTRA SECRETO","Alto","70.9","Fraude confirmado","AUD-962","Testigo externo reporta irregularidades."
"RBF-01219","2014-02-27","2016-02-27","Dr. Mendoza, F.","Comité de Revisión Umbrella Corp.","Ensayo RE-Cadou","Centro de Investigación Kijuju","SUJ-8184","26","41","88.21","42.65","1","1","Modificación de resultado post-mortem","10","RESTRINGIDO","Bajo","61.1","Fraude confirmado","AUD-469","Consentimiento firmado bajo coerción."
"RBF-01220","2015-07-16","2015-12-26","Dra. Okafor, B.","Comité Ético NEST-Arklay","Investigación Las Plagas Fase III","Mobile Unit Delta","SUJ-2567","62","62","87.66","47.89","1","11","Falsificación de grupo de control","8","CONFIDENCIAL","Alto","53.4","Archivado","AUD-541","Aprobación ética emitida retroactivamente."
"RBF-01221","2013-05-04","2014-10-10","Dr. Mendoza, F.","Panel Bioético Sector B","Experimento Wesker","NEST Underground","SUJ-8314","46","63","84.73","60.44","0","5","Supresión de muestra contaminada","1","CONFIDENCIAL","Medio","75.7","En revisión","AUD-180","Hash de documento no coincide con archivo original."
"RBF-01222","2020-04-30","2021-10-11","Dra. Spencer, A.","Comité de Revisión Externe BSAA","Protocolo Umbrella-X","Satellite Lab B-17","SUJ-3045","64","69","85.75","70.71","4","6","Fabricación de consentimiento informado","3","ULTRA SECRETO","Bajo","30.2","Fraude confirmado","AUD-378","Protocolo no seguido, datos fabricados."
"RBF-01223","2018-01-03","2018-05-28","Dra. Vega, N.","Panel Bioético Sector B","Ensayo RE-Cadou","Raccoon City Hospital","SUJ-2401","2","6","80.7","35.41","0","6","Omisión de efectos adversos","5","CONFIDENCIAL","Crítico","84.9","Archivado","AUD-375","Muestra biológica alterada post-análisis."
"RBF-01224","2022-08-30","2023-11-24","Dra. Vega, N.","Comité de Revisión Externe BSAA","Protocolo Umbrella-X","Arklay Mountain Lab","SUJ-1994","54","71","85.5","31.09","0","5","Fabricación de consentimiento informado","7","USO INTERNO","Crítico","70.2","Fraude confirmado","AUD-203","Muestra biológica alterada post-análisis."
"RBF-01225","2020-07-18","2021-11-11","Dra. Reyes, P.","Panel Clínico Raccoon City","Fase Miranda-Prime","Raccoon City Hospital","SUJ-1546","65","77","77.14","29.74","1","11","Manipulación de estadística de éxito","16","RESTRINGIDO","Bajo","31.2","En revisión","AUD-259","Testigo externo reporta irregularidades."
"RBF-01226","2019-09-27","2019-12-13","Dr. Birkin, W.","Comité Ético NEST-Arklay","Fase Gamma-Licker","Mobile Unit Delta","SUJ-7183","51","56","92.93","59.52","1","7","Supresión de reacción alérgica severa","8","ULTRA SECRETO","Alto","50.6","Archivado","AUD-779","Sujeto registrado fallecido antes del ensayo."
"RBF-01227","2014-01-28","2014-05-02","Dra. Okafor, B.","Comité de Revisión Umbrella Corp.","Investigación Las Plagas Fase III","Laboratorio Remoto Dulvey","SUJ-6132","53","59","76.83","25.68","4","8","Supresión de reacción alérgica severa","1","ULTRA SECRETO","Medio","48.4","En revisión","AUD-833","Firmas no coinciden con fecha declarada."
"RBF-01228","2014-02-23","2014-12-17","Dra. Reyes, P.","Comité Internacional de Bioética","Ensayo T-002","Spencer Estate Lab","SUJ-2065","36","38","74.21","42.82","3","3","Alteración de fechas de aplicación","3","CONFIDENCIAL","Medio","39.9","Escalado a fiscal","AUD-881","Firmas no coinciden con fecha declarada."
"RBF-01229","2014-06-05","2016-05-05","Dra. Cortez, M.","Junta de Supervisión STARS","Ensayo T-002","Facility Salazar","SUJ-3089","26","36","83.34","47.34","4","6","Alteración de fechas de aplicación","6","CONFIDENCIAL","Crítico","33.9","Fraude confirmado","AUD-808","Aprobación ética emitida retroactivamente."
"RBF-01230","2020-04-13","2021-03-30","Dr. Birkin, W.","Junta Regulatoria Nemesis Div.","Protocolo Umbrella-X","Satellite Lab B-17","SUJ-2015","29","36","89.12","55.03","3","5","Datos de control fabricados","12","CONFIDENCIAL","Medio","68.4","En revisión","AUD-898","Consentimiento firmado bajo coerción."
"RBF-01231","2017-06-06","2017-07-18","Dr. Mendoza, F.","Comité Internacional de Bioética","Protocolo G-Virus","Mobile Unit Delta","SUJ-8240","21","24","83.38","50.48","2","8","Omisión de muerte no reportada","15","USO INTERNO","Crítico","28.3","Archivado","AUD-851","Firmas no coinciden con fecha declarada."
"RBF-01232","2015-02-06","2017-01-30","Dra. Petrova, I.","Panel de Cumplimiento Viral","Ensayo Mold-E-Variant","Arklay Mountain Lab","SUJ-1897","11","20","79.2","33.19","1","3","Falsificación de aprobación ética","17","CONFIDENCIAL","Bajo","28.7","Pendiente","AUD-677","Hash de documento no coincide con archivo original."
"RBF-01233","2020-02-15","2021-09-04","Dr. Ashford, E.","Junta de Supervisión STARS","Fase Gamma-Licker","Raccoon City Hospital","SUJ-5939","40","48","86.51","50.44","2","12","Falsificación de grupo de control","17","USO INTERNO","Bajo","82.7","Pendiente","AUD-655","Aprobación ética emitida retroactivamente."
"RBF-01234","2018-08-11","2020-04-22","Dr. Salazar, R.","Comité Ético NEST-Arklay","Ensayo T-002","Centro de Investigación Kijuju","SUJ-8075","11","23","81.02","53.35","2","6","Datos de control fabricados","12","ULTRA SECRETO","Medio","72.7","Escalado a fiscal","AUD-556","Resultados estadísticos inconsistentes."
"RBF-01235","2022-12-14","2024-08-13","Dr. Torres, C.","Comité de Revisión Externe BSAA","Estudio Uroboros","Raccoon City Hospital","SUJ-2077","36","54","96.25","70.92","1","4","Fabricación de consentimiento informado","16","CONFIDENCIAL","Crítico","71","Pendiente","AUD-162","Testigo externo reporta irregularidades."
"RBF-01236","2020-07-10","2021-03-26","Dr. Marcus, J.","Junta de Supervisión STARS","Investigación Las Plagas Fase III","Spencer Estate Lab","SUJ-2668","59","73","95.99","79.48","2","5","Datos de control fabricados","12","ULTRA SECRETO","Alto","85.9","Escalado a fiscal","AUD-164","Sujeto registrado fallecido antes del ensayo."
"RBF-01237","2017-11-18","2019-11-03","Dr. Wesker, A.","Comité Ético NEST-Arklay","Proyecto Némesis","NEST Underground","SUJ-1914","39","43","85.06","46.73","0","6","Omisión de muerte no reportada","4","CONFIDENCIAL","Bajo","33.6","Escalado a fiscal","AUD-960","Protocolo no seguido, datos fabricados."
"RBF-01238","2018-09-10","2019-09-21","Dra. Cortez, M.","Comité de Revisión Externe BSAA","Experimento Wesker","Spencer Estate Lab","SUJ-1855","54","66","80.52","56.32","3","3","Modificación de resultado post-mortem","9","USO INTERNO","Medio","52.1","En revisión","AUD-159","Muestra biológica alterada post-análisis."
"RBF-01239","2015-03-05","2016-09-16","Dra. Reed, L.","Comité de Ética Médica T-Sector","Protocolo G-Virus","Satellite Lab B-17","SUJ-5831","55","66","91.17","70.24","4","10","Fabricación de consentimiento informado","15","CONFIDENCIAL","Medio","63.1","Fraude confirmado","AUD-726","Protocolo no seguido, datos fabricados."
"RBF-01240","2013-02-15","2014-09-03","Dr. Dubois, L.","Junta Regulatoria Nemesis Div.","Fase C-Virus Alpha","Raccoon City Hospital","SUJ-7249","24","32","72.95","31.8","1","8","Supresión de reacción alérgica severa","5","ULTRA SECRETO","Alto","57","Fraude confirmado","AUD-295","Aprobación ética emitida retroactivamente."
"RBF-01241","2021-05-03","2023-02-25","Dr. Ashford, E.","Comité de Revisión Umbrella Corp.","Fase Gamma-Licker","Lab Urbano RC-04","SUJ-7581","22","29","84.34","42.09","0","2","Manipulación de dosis registrada","11","CONFIDENCIAL","Crítico","32.7","Pendiente","AUD-777","Sujeto registrado fallecido antes del ensayo."
"RBF-01242","2014-03-06","2014-07-11","Dr. Wesker, A.","Junta de Supervisión STARS","Proyecto Excella","Mobile Unit Delta","SUJ-2570","69","77","80.74","35.65","4","6","Datos de control fabricados","1","RESTRINGIDO","Alto","65.3","Escalado a fiscal","AUD-232","Firmas no coinciden con fecha declarada."
"RBF-01243","2015-04-28","2016-08-13","Dr. Chen, W.","Comité de Revisión Externe BSAA","Estudio Megamycete","Mobile Unit Delta","SUJ-7735","56","68","95.93","60.79","4","7","Modificación de resultado post-mortem","16","RESTRINGIDO","Bajo","60.7","Pendiente","AUD-224","Aprobación ética emitida retroactivamente."
"RBF-01244","2014-07-20","2016-06-26","Dr. Wesker, A.","Junta Regulatoria Nemesis Div.","Fase C-Virus Alpha","Lab Urbano RC-04","SUJ-4819","33","41","72.31","21.55","4","9","Falsificación de grupo de control","13","USO INTERNO","Alto","61.3","Fraude confirmado","AUD-441","Muestra biológica alterada post-análisis."
"RBF-01245","2016-01-18","2016-10-28","Dr. Wesker, A.","Comité de Revisión Umbrella Corp.","Ensayo RE-Cadou","Facility Salazar","SUJ-1173","36","41","86.37","33.92","2","8","Omisión de muerte no reportada","16","ULTRA SECRETO","Medio","27.4","Archivado","AUD-249","Firmas no coinciden con fecha declarada."
"RBF-01246","2014-01-04","2015-06-11","Dra. Petrova, I.","Comité de Revisión Externe BSAA","Proyecto Excella","Lab Urbano RC-04","SUJ-8428","20","25","91.26","43.97","2","2","Datos de control fabricados","16","USO INTERNO","Medio","8.5","Fraude confirmado","AUD-702","Datos duplicados de ensayo anterior."
"RBF-01247","2015-05-23","2016-06-10","Dr. Marcus, J.","Comité de Revisión Umbrella Corp.","Protocolo Umbrella-X","Raccoon City Hospital","SUJ-7290","83","93","84.61","44.19","2","5","Supresión de reacción alérgica severa","3","USO INTERNO","Medio","50.2","Archivado","AUD-361","Datos duplicados de ensayo anterior."
"RBF-01248","2012-02-27","2014-02-05","Dr. Marcus, J.","Panel Bioético Sector B","Proyecto Excella","Laboratorio Remoto Dulvey","SUJ-8605","81","90","74.22","47.07","2","13","Alteración de muestra de tejido","11","USO INTERNO","Crítico","78.1","Pendiente","AUD-210","Datos duplicados de ensayo anterior."
"RBF-01249","2019-12-10","2021-12-01","Dra. Singh, A.","Comité de Ética Médica T-Sector","Investigación Las Plagas Fase III","Laboratorio Remoto Dulvey","SUJ-8014","62","75","97.28","42.96","0","6","Datos de control fabricados","13","USO INTERNO","Crítico","72.3","En revisión","AUD-608","Consentimiento firmado bajo coerción."
"RBF-01250","2017-12-27","2019-11-13","Dr. Isaacs, S.","Comité Ético NEST-Arklay","Investigación Las Plagas Fase III","NEST Underground","SUJ-2659","73","78","85.47","59.5","2","12","Supresión de muestra contaminada","2","CONFIDENCIAL","Bajo","46.9","En revisión","AUD-925","Datos duplicados de ensayo anterior."
"RBF-01251","2013-06-02","2014-07-31","Dra. Reyes, P.","Panel Bioético Sector B","Estudio Uroboros","NEST Underground","SUJ-6564","26","32","87.97","64.86","1","2","Datos de control fabricados","3","RESTRINGIDO","Bajo","35.3","Archivado","AUD-541","Resultados estadísticos inconsistentes."
"RBF-01252","2015-01-28","2015-07-29","Dra. Vega, N.","Panel Bioético Sector B","Investigación Las Plagas Fase III","Mobile Unit Delta","SUJ-1425","66","74","78.15","45.46","4","4","Omisión de muerte no reportada","1","CONFIDENCIAL","Alto","55.1","Pendiente","AUD-212","Muestra biológica alterada post-análisis."
"RBF-01253","2012-07-05","2014-02-26","Dra. Singh, A.","Comité de Revisión Umbrella Corp.","Protocolo Umbrella-X","Satellite Lab B-17","SUJ-8439","73","75","84.57","67.3","0","0","Falsificación de firma de consentimiento","1","ULTRA SECRETO","Crítico","45.2","Archivado","AUD-213","Testigo externo reporta irregularidades."
"RBF-01254","2022-12-04","2024-09-21","Dra. Okafor, B.","Junta de Supervisión STARS","Ensayo RE-Cadou","Laboratorio Remoto Dulvey","SUJ-9474","73","84","83.16","29.02","2","11","Datos de control fabricados","15","CONFIDENCIAL","Alto","69.1","Fraude confirmado","AUD-198","Consentimiento firmado bajo coerción."
"RBF-01255","2012-08-11","2012-11-04","Dra. Reed, L.","Panel Bioético Sector B","Fase Gamma-Licker","Arklay Mountain Lab","SUJ-6377","40","55","73.95","35.41","4","9","Manipulación de estadística de éxito","3","RESTRINGIDO","Medio","62.5","Pendiente","AUD-971","Protocolo no seguido, datos fabricados."
"RBF-01256","2018-03-16","2018-04-26","Dra. Okafor, B.","Comité de Revisión Umbrella Corp.","Fase Gamma-Licker","Satellite Lab B-17","SUJ-4153","17","29","74.76","37.48","0","11","Manipulación de estadística de éxito","4","ULTRA SECRETO","Bajo","63.2","Archivado","AUD-415","Testigo externo reporta irregularidades."
"RBF-01257","2015-04-11","2017-02-27","Dra. Reed, L.","Junta Regulatoria Nemesis Div.","Ensayo T-002","Satellite Lab B-17","SUJ-2769","1","6","93.77","52.54","4","8","Reemplazo de sujeto de prueba","12","CONFIDENCIAL","Crítico","29","Pendiente","AUD-627","Testigo externo reporta irregularidades."
"RBF-01258","2019-10-27","2020-05-04","Dra. Reed, L.","Comité de Ética Médica T-Sector","Estudio Uroboros","Spencer Estate Lab","SUJ-2682","61","73","78.24","43.36","0","0","Manipulación de estadística de éxito","12","RESTRINGIDO","Bajo","17.1","Archivado","AUD-339","Protocolo no seguido, datos fabricados."
"RBF-01259","2022-08-02","2024-01-31","Dr. Chen, W.","Junta Regulatoria Nemesis Div.","Ensayo T-002","NEST Underground","SUJ-1201","43","47","77.07","60.79","3","12","Alteración de fechas de aplicación","14","CONFIDENCIAL","Medio","97.9","Pendiente","AUD-261","Hash de documento no coincide con archivo original."
"RBF-01260","2013-06-01","2014-10-24","Dr. Wesker, A.","Panel Bioético Sector B","Protocolo G-Virus","Centro de Investigación Kijuju","SUJ-2106","42","45","85.13","45.64","0","2","Alteración de muestra de tejido","11","USO INTERNO","Bajo","70.4","En revisión","AUD-356","Protocolo no seguido, datos fabricados."
"RBF-01261","2019-02-25","2020-08-15","Dra. Reed, L.","Comité Ético NEST-Arklay","Ensayo Mutación Hunter","Spencer Estate Lab","SUJ-4172","25","32","91.99","48.34","2","12","Falsificación de aprobación ética","6","USO INTERNO","Crítico","38.9","En revisión","AUD-868","Testigo externo reporta irregularidades."
"RBF-01262","2021-09-27","2022-04-14","Dra. Vega, N.","Comité de Revisión Umbrella Corp.","Estudio Megamycete","Satellite Lab B-17","SUJ-3064","39","41","73.61","41.94","4","10","Supresión de muestra contaminada","14","RESTRINGIDO","Medio","46","Fraude confirmado","AUD-820","Testigo externo reporta irregularidades."
"RBF-01263","2020-06-10","2020-09-24","Dra. Spencer, A.","Comité de Revisión Externe BSAA","Ensayo Mold-E-Variant","Spencer Estate Lab","SUJ-9337","35","36","87","41.71","4","15","Falsificación de grupo de control","2","USO INTERNO","Alto","31.2","En revisión","AUD-138","Testigo externo reporta irregularidades."
"RBF-01264","2017-07-03","2018-12-18","Dra. Reed, L.","Comité de Revisión Umbrella Corp.","Ensayo Mutación Hunter","Facility Salazar","SUJ-5198","3","22","75.1","51.02","4","12","Alteración de fechas de aplicación","3","RESTRINGIDO","Bajo","57.4","Fraude confirmado","AUD-713","Consentimiento firmado bajo coerción."
"RBF-01265","2013-02-24","2014-02-17","Dr. Ashford, E.","Comité de Revisión Umbrella Corp.","Experimento Wesker","Laboratorio Remoto Dulvey","SUJ-6822","44","62","72.95","49.1","1","9","Omisión de efectos adversos","8","CONFIDENCIAL","Medio","94.8","Fraude confirmado","AUD-515","Resultados estadísticos inconsistentes."
"RBF-01266","2021-10-14","2022-07-17","Dra. Petrova, I.","Comité de Revisión Umbrella Corp.","Estudio Megamycete","Mobile Unit Delta","SUJ-7897","51","57","73.37","51.91","1","6","Falsificación de grupo de control","2","USO INTERNO","Alto","53.3","En revisión","AUD-867","Testigo externo reporta irregularidades."
"RBF-01267","2012-02-20","2013-02-22","Dr. Isaacs, S.","Comité de Ética Médica T-Sector","Fase Miranda-Prime","Spencer Estate Lab","SUJ-8887","12","23","93.69","63.81","2","4","Fabricación de consentimiento informado","16","RESTRINGIDO","Alto","30.6","Pendiente","AUD-451","Protocolo no seguido, datos fabricados."
"RBF-01268","2018-06-09","2019-04-19","Dra. Reyes, P.","Comité de Ética Médica T-Sector","Ensayo Mold-E-Variant","NEST Underground","SUJ-8284","19","22","75.07","26.19","3","3","Fabricación de consentimiento informado","14","RESTRINGIDO","Alto","57.7","En revisión","AUD-875","Hash de documento no coincide con archivo original."
"RBF-01269","2015-03-10","2015-05-30","Dr. Mendoza, F.","Comité de Revisión Umbrella Corp.","Protocolo G-Virus","Arklay Mountain Lab","SUJ-4046","44","53","73.17","25.05","1","3","Alteración de muestra de tejido","4","ULTRA SECRETO","Alto","67.1","Fraude confirmado","AUD-238","Resultados estadísticos inconsistentes."
"RBF-01270","2017-04-06","2018-10-07","Dra. Vega, N.","Panel Bioético Sector B","Estudio Uroboros","Raccoon City Hospital","SUJ-4983","59","67","83.39","53.08","0","9","Omisión de efectos adversos","6","RESTRINGIDO","Medio","70.5","Pendiente","AUD-793","Protocolo no seguido, datos fabricados."
"RBF-01271","2017-05-14","2018-01-27","Dr. Salazar, R.","Panel Bioético Sector B","Estudio Megamycete","Laboratorio Remoto Dulvey","SUJ-3255","49","60","93.94","55.38","2","3","Omisión de muerte no reportada","12","USO INTERNO","Bajo","78.1","Archivado","AUD-521","Hash de documento no coincide con archivo original."
"RBF-01272","2016-12-09","2018-07-25","Dra. Singh, A.","Comité Ético NEST-Arklay","Investigación Las Plagas Fase III","Lab Urbano RC-04","SUJ-1722","61","71","78.82","34.99","3","13","Omisión de efectos adversos","10","CONFIDENCIAL","Crítico","58.2","Archivado","AUD-932","Protocolo no seguido, datos fabricados."
"RBF-01273","2015-10-27","2017-09-14","Dr. Torres, C.","Comité de Revisión Umbrella Corp.","Ensayo RE-Cadou","Lab Urbano RC-04","SUJ-1991","17","35","82.96","58.31","0","4","Falsificación de aprobación ética","9","CONFIDENCIAL","Crítico","91.3","En revisión","AUD-178","Muestra biológica alterada post-análisis."
"RBF-01274","2014-01-25","2015-03-18","Dr. Ashford, E.","Comité de Revisión Externe BSAA","Estudio Uroboros","NEST Underground","SUJ-3091","74","75","73.04","51.31","4","11","Alteración de fechas de aplicación","3","USO INTERNO","Crítico","25.6","En revisión","AUD-234","Muestra biológica alterada post-análisis."
"RBF-01275","2022-10-29","2024-01-14","Dr. Ashford, E.","Comité Ético NEST-Arklay","Estudio Uroboros","NEST Underground","SUJ-6106","57","62","83.68","29.8","1","5","Falsificación de aprobación ética","1","USO INTERNO","Crítico","54.2","Escalado a fiscal","AUD-226","Consentimiento firmado bajo coerción."
"RBF-01276","2012-07-29","2013-04-25","Dr. Torres, C.","Junta Regulatoria Nemesis Div.","Protocolo G-Virus","Mobile Unit Delta","SUJ-8140","55","60","87.02","47.32","0","0","Alteración de muestra de tejido","14","USO INTERNO","Medio","34.3","Pendiente","AUD-497","Hash de documento no coincide con archivo original."
"RBF-01277","2014-10-31","2015-02-18","Dr. Ashford, E.","Panel Bioético Sector B","Experimento Wesker","Arklay Mountain Lab","SUJ-9407","47","47","86.84","32.58","3","5","Reemplazo de sujeto de prueba","8","CONFIDENCIAL","Crítico","94.8","Escalado a fiscal","AUD-937","Muestra biológica alterada post-análisis."
